title,location,text,fraudulent,source
Electrical Engineer,"Cape Town, South Africa","Electrical Engineer - consulting firm, Cape Town. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 6 years experience in building services. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Cape Town offices.",0,synthetic_sa
Models and promoters wanted,"Kimberley, South Africa","Modelling agency in Kimberley is recruiting new faces. No experience needed, earn up to R2,500 per shoot. Send full-length photos, your ID number and home address on WhatsApp 077 172 4824. A once-off portfolio fee of R600 is required before your first booking is confirmed. International contracts available for successful candidates. Apply before Sunday.",1,synthetic_sa
Accountant,"Rustenburg, South Africa","Junior Accountant - Rustenburg. Established audit firm seeks a qualified accountant. Requirements: BCom Accounting, completed SAIPA or SAICA articles preferred, strong Excel and SAP skills, valid driver's licence. Salary R32,000 - R45,000 CTC with study support. Apply through PNet with your CV and academic transcript. Closing date 15 October. Correspondence will be limited to shortlisted candidates.",0,synthetic_sa
Graduate Programme,"Sandton, South Africa",Graduate Programme 2026 - national mining house. Honours degree in Finance or related field with strong academic record. Structured 12-month rotation programme with mentorship and permanent placement on successful completion. Applications via our official graduate portal only. No fees are charged at any stage of the recruitment process. Applications close 25 September.,0,synthetic_sa
Software Developer,"Durban, South Africa","Software Developer - Senior. Our Durban-based fintech company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 5 years commercial experience; proficiency in Node.js or TypeScript; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R45,000 - R75,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Life Sciences Teacher,"Sandton, South Africa","High school Life Sciences teacher - Sandton. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 14 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Cleaners needed urgently,"George, South Africa","URGENT HIRING!!! Cleaners needed in George. Earn R25,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 086 132 1488. Registration fee of R150 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 6 positions left! 100% guaranteed income.",1,synthetic_sa
Software Developer,"Cape Town, South Africa","Software Developer - Mid Level. Our Cape Town-based insurtech company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 2 years commercial experience; proficiency in C# or TypeScript; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R40,000 - R60,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Packers needed urgently,"Gqeberha, South Africa","URGENT HIRING!!! Packers needed in Gqeberha. Earn R45,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 074 755 4598. Registration fee of R650 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 8 positions left! 100% guaranteed income.",1,synthetic_sa
Registered Nurse,"Soweto, South Africa","Registered Nurse - private hospital group, Soweto. SANC registration and 4 years trauma experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 12 September. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
