record_id,source,job_id,title,company,company_url,location,work_from_home,salary,salary_disclosed,employment_type,work_type,job_level,ee_status,posted_raw,posted_date,expires,reference,description,description_length,has_description,url,search_scope,scraped_date,description_source,salary_detail_from_page,desired_skills
CJ-0001,CareerJunction,2640280,Sales Consultant,The Recruitment Pig,https://www.careerjunction.co.za/companies/37518/the-recruitment-pig,Centurion,No,"R25,000 - R70,000 per month",Yes,Permanent,,Intermediate,,15 Aug 2026,2026-08-15,in 27 days,JHB000155,"Tracking your new career move? Are you a B2B sales professional who thrives on high performance and uncapped earning potential? If you are a process-driven individual who ""thinks in bets"", backed by your own relentless execution and refuse to let a corporate ceiling dictate your worth, this is the market disruption you have been waiting for. ABOUT THE COMPANY Representing a rapidly growing, premier force in AI-driven fleet management and telematics, our client is actively dominating the technology sector across Africa. By leveraging cutting-edge, real-time data analytics and innovative fatigue-detection software, they transform how the logistics, transport, and construction sectors optimize driver safety and slash operational costs. YOUR MISSION Forget managing a passive pipeline or hiding behind tedious HR jargon. You are here to conquer territory, unlock new business, and drive revenue growth. Pipeline Generation: Prospecting and building a high-value pipeline exclusively targeting senior decision-makers, fleet owners, and transport operators within the logistics sector. The Pitch: Conduct product demonstrations and pitch AI video surveillance solutions to fleet owners and C-suite executives. Own the Cycle: Govern the complete sales lifecycle, from initial prospecting to negotiating high-value service level agreements and closing contracts. WHO ARE YOU? The Track Record: A minimum of 3 years of B2B sales experience. Industry Intelligence: Understanding of the logistics, supply chain, and transport sectors. Build Relationships: Expert negotiation and deal-closing skills, with the professional gravitas required to pitch directly to corporate executives.",1681,Yes,https://www.careerjunction.co.za/sales-consultant-job-2640280.aspx,All Jobs in All Locations,2026-08-16,job page (full text),,
CJ-0002,CareerJunction,2640281,Sales Consultant,The Recruitment Pig,https://www.careerjunction.co.za/companies/37518/the-recruitment-pig,Cape Town,No,"R25,000 - R70,000 per month",Yes,Permanent,,Intermediate,,15 Aug 2026,2026-08-15,in 28 days,JHB000156,"Tracking your new career move? Are you a B2B sales professional who thrives on high performance and uncapped earning potential? If you are a process-driven individual who ""thinks in bets"", backed by your own relentless execution and refuse to let a corporate ceiling dictate your worth, this is the market disruption you have been waiting for. ABOUT THE COMPANY Representing a rapidly growing, premier force in AI-driven fleet management and telematics, our client is actively dominating the technology sector across Africa. By leveraging cutting-edge, real-time data analytics and innovative fatigue-detection software, they transform how the logistics, transport, and construction sectors optimize driver safety and slash operational costs. YOUR MISSION Forget managing a passive pipeline or hiding behind tedious HR jargon. You are here to conquer territory, unlock new business, and drive revenue growth. Pipeline Generation: Prospecting and building a high-value pipeline exclusively targeting senior decision-makers, fleet owners, and transport operators within the logistics sector. The Pitch: Conduct product demonstrations and pitch AI video surveillance solutions to fleet owners and C-suite executives. Own the Cycle: Govern the complete sales lifecycle, from initial prospecting to negotiating high-value service level agreements and closing contracts. WHO ARE YOU? The Track Record: A minimum of 3 years of B2B sales experience. Industry Intelligence: Understanding of the logistics, supply chain, and transport sectors. Build Relationships: Expert negotiation and deal-closing skills, with the professional gravitas required to pitch directly to corporate executives.",1681,Yes,https://www.careerjunction.co.za/sales-consultant-job-2640281.aspx,Jobs in western cape,2026-08-16,"job page (full text, mirrored from twin posting)",,
CJ-0003,CareerJunction,2640327,Accountant,The Recruitment People,https://www.careerjunction.co.za/companies/28875/the-recruitment-people,Cape Town,No,"R35,000 - R50,000 per month",Yes,Permanent,,Intermediate,,13 Aug 2026,2026-08-13,in 27 days,Cen002860,"Our client, based in Cape Town, is seeking an Accountant to join their team. Job Description: The candidate will be responsible for the full accounting function, responsibilities will include, but are not limited to: Management accounts. AP and AR. Reconciliations. Minimum Requirements: BCom. Advanced Excel skills. 3 years of experience in a similar role.",357,Yes,https://www.careerjunction.co.za/accountant-job-2640327.aspx,Jobs in western cape,2026-08-16,job page (full text),,
CJ-0004,CareerJunction,2641827,Electrician (Cradock),Sinakho Staffshop (Pty) Ltd,https://www.careerjunction.co.za/companies/26455/sinakho-staffshop-pty-ltd,Cradock,No,Undisclosed,No,Permanent,,Intermediate,,14 Aug 2026,2026-08-14,in 32 days,24625,"Key Responsibilities: Installation, maintenance, and repair of electrical systems and equipment. Fault finding and troubleshooting. Working on three-phase electrical installations. Ensuring compliance with safety regulations and electrical standards. Reading and interpreting technical drawings and wiring diagrams. Minimum Requirements: Minimum N3 qualification. Relevant experience working with three-phase power. Valid Red Seal. Knowledge and relevant experience with solar. Three-phase Wireman's Licence (Advantage). About The Employer: Join this comprehensive Engineering, Procurement, Construction, and Maintenance (EPCM) company specializing in turnkey solar solutions, Battery Energy Storage Systems (BESS), and microgrids for commercial and agricultural sectors.",771,Yes,https://www.careerjunction.co.za/electrician-cradock-job-2641827.aspx,Jobs in eastern cape,2026-08-16,job page (full text),,Fault Finding
CJ-0005,CareerJunction,2642318,Layout Designer,Vital Element (Pty) Ltd,https://www.careerjunction.co.za/companies/35770/vital-element-pty-ltd,Durban Region,No,R Undisclosed,No,Permanent,,Intermediate,,10 Aug 2026,2026-08-10,in 1 day,VE941,"Looking for a creative, analytical, and commercially minded Store Layout Designer to join the Team. This role is central to shaping the shopping experience across the Group's stores, ensuring layouts are both functional and inspiring, while driving productivity and profitability. Responsibilities: Space optimisation: Design and refine layouts that maximise retail space, sales, and customer satisfaction. Spatial planning: Balance shopper psychology with category strategies, ensuring efficient flows and adjacencies across high-traffic areas, product zones, and checkout points. Project execution: Oversee implementation, coordinating contractors and vendors to deliver projects on time, within budget, and to the highest quality standards. Performance benchmarking: Use trading density, stock density, GMROI, and GP/SQM benchmarks to guide design decisions. Requirements: Matric plus a Bachelor's degree in a related field. Minimum 3 years' experience in store design, retail merchandising, or a related discipline. Proficiency in AutoCAD or similar floor planning software.",1078,Yes,https://www.careerjunction.co.za/layout-designer-job-2642318.aspx,Jobs in kwazulu-natal,2026-08-16,job page (full text),,
CJ-0006,CareerJunction,2642338,Systems Development Manager at Ntice Sourcing Solutions (Pty) Ltd.,NTICE SOURCING SOLUTIONS (PTY) LTD.,https://www.careerjunction.co.za/companies/33092/ntice-sourcing-solutions-pty-ltd,KwaZulu-Natal,No,"R1,500,000 - R1,800,000 per month",Yes,Permanent,,Management,,10 Aug 2026,2026-08-10,in 1 day,68739,"Lead the management and strategic direction of Systems Support & Development and IT functions. Key Responsibilities: Lead systems development, integration, and technology improvement initiatives. Manage SQL Server databases, SSIS packages, SSRS reports, and Power BI solutions. Support Azure data platforms, Azure administration, and cloud-based solutions. Analyse business requirements and translate them into effective technical solutions. Manage projects from planning through to successful delivery. Collaborate with vendors, developers, and internal stakeholders. Lead and mentor technical teams to deliver high-quality support and solutions. Requirements: Bachelor's Degree in Information Systems, Computer Science, or related field. 5+ years' experience in a similar Data Manager / Systems Management role. Strong experience with Microsoft SQL Server development, Power BI, and Azure platforms.",901,Yes,https://www.careerjunction.co.za/systems-development-manager-at-ntice-sourcing-solutions-pty-ltd-job-2642338.aspx,Jobs in kwazulu-natal,2026-08-16,job page (full text),,
CJ-0007,CareerJunction,2642339,Technical Advisor - Ruminants at Ntice Sourcing Solutions (Pty) Ltd.,NTICE SOURCING SOLUTIONS (PTY) LTD.,https://www.careerjunction.co.za/companies/33092/ntice-sourcing-solutions-pty-ltd,Howick,No,R Undisclosed,No,Permanent,,Intermediate,,10 Aug 2026,2026-08-10,in 1 day,68772,"Agricultural professional who is passionate about livestock production, enjoys working directly with dairy farmers, and has a flair for building long-term relationships while growing sales. Key Responsibilities: Develop new business opportunities within the dairy farming sector. Manage, retain and grow an existing customer base. Provide technical product support and on-farm advice to customers. Achieve sales targets while increasing market share within the territory. Minimum Requirements: Agricultural Degree or Diploma (Degree preferred). Minimum 2 years' external sales experience within the agricultural industry (feed mills preferred). Fluent in Afrikaans and English. Willingness to travel extensively throughout KwaZulu-Natal.",737,Yes,https://www.careerjunction.co.za/technical-advisor-ruminants-at-ntice-sourcing-solutions-pty-ltd-job-2642339.aspx,Jobs in kwazulu-natal,2026-08-16,job page (full text),,
CJ-0008,CareerJunction,2642362,Assistant Metallurgist at Adcorp,Adcorp Blu,https://www.careerjunction.co.za/companies/35584/adcorp-blu,Richards Bay,No,R150.00 - R170.00 per hour,Yes,Contract,,Junior,,11 Aug 2026,2026-08-11,in 2 days,ASS.MET2026,Provide support services to the Metallurgy sections in order to ensure plant and process optimization. The objectives of Metallurgical Development are to develop new and improved processes and plants to produce better grade of existing products or design plants for new products. Knowledge required: An understanding of technical data and broader exposure across various plants. Entry-level role (feeder for Metallurgist position). Educational requirement: Matric / N3 (with Maths & Science). National Diploma (Metallurgical / Technical) is desirable.,551,Yes,https://www.careerjunction.co.za/assistant-metallurgist-at-adcorp-job-2642362.aspx,Jobs in kwazulu-natal,2026-08-16,job page (full text),,
CJ-0009,CareerJunction,2642381,Senior Bookkeeper,Manpower SA (Pty) Ltd.,https://www.careerjunction.co.za/companies/23095/manpower-sa-pty-ltd,Durban (Durban CBD),No,R Undisclosed,No,Permanent,,Intermediate,,11 Aug 2026,2026-08-11,in 2 days,CPT003635,"Experienced Bookkeeper to take ownership of the finance function while supporting day-to-day operations. Key Responsibilities: Bookkeeping: Process supplier invoices, monthly accounts, bank reconciliations, load payments, process payroll, submit VAT returns (using Pastel). Manage debtors and reconcile customer accounts. Administration: Provide admin support to management, coordinate travel, organize company meetings, and manage office procurement. Minimum Requirements: 5+ years' commercial bookkeeping experience. Relevant qualification in Bookkeeping/Accounting. Strong knowledge of Pastel, payroll processing, and VAT.",625,Yes,https://www.careerjunction.co.za/senior-bookkeeper-job-2642381.aspx,Jobs in kwazulu-natal,2026-08-16,job page (full text),,
CJ-0010,CareerJunction,2642454,Store Controller,Jordan HR,https://www.careerjunction.co.za/companies/27734/jordan-hr,Durban (Durban CBD),No,"R8,500 per month",Yes,Permanent,,Intermediate,,12 Aug 2026,2026-08-12,in 3 days,,"Monitor and control the production demand for raw material, packing material and finished goods by aligning with the production plan and coordinating with purchase and production. Educational qualifications: Matric/Grade 12, Forklift/Reach Truck Drivers License. Relevant experience: 2-3 years' experience in a stores/supply chain/logistics environment. Training on current GMP and Safety Health and Environment (SHE).",418,Yes,https://www.careerjunction.co.za/store-controller-job-2642454.aspx,Jobs in kwazulu-natal,2026-08-16,job page (full text),,
